birthPlaceCountry,countryOfIncorporation,countryOfResidency,deathTime,firstName,isActive,lastName,legalName,listedCompany,maritalStatus,middleName,name,nameAlias,nationality,occupation,organizationSymbol,partyId,partyType,sourceOfIncome,title,website,gender,homePhone,alternatePhone,cellPhone,primaryPhone,workPhone,alternateEmail,companyEmail,personalEmail,workEmail,isIndividual
US,US,US,,,,,,,,,,,US,,,2,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,7,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,9,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,12,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,15,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,16,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,17,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,19,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,20,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,21,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,24,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,26,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,28,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,29,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,31,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,32,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,34,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,36,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,39,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,41,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,42,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,46,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,48,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,52,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,53,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,55,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,56,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,58,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,63,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,65,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,66,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,69,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,74,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,75,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,76,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,77,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,78,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,81,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,82,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,83,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,86,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,87,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,89,Organization,,,,,,,,,,,,,,False
